127.0.0.1 - - [20/Apr/2023:15:44:50 +0900] "GET / HTTP/1.1" 200 14025
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /index.do HTTP/1.1" 200 14025
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /css/main.css HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /images/layout/redplus_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /images/main/vs_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /images/main/vs_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /images/main/vs_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /images/main/visual_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:51 +0900] "GET /images/favicon/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:53 +0900] "GET /login.do HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:53 +0900] "GET /css/css_jhs/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:53 +0900] "GET /js/js_jhs/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:53 +0900] "GET /images/eqimg/redplus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:44:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:00 +0900] "POST /login.do HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:01 +0900] "GET /view/login/login.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "POST /login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:05 +0900] "GET /index.do HTTP/1.1" 200 14077
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:08 +0900] "GET /BdhRes1.do HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:08 +0900] "GET /js/js_kmw.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:08 +0900] "GET /css/css_kmw/res_css/rescommon.css HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:08 +0900] "GET /css/css_kmw/res_css/bdhRes1.css HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:08 +0900] "GET /images/resimg/%EB%8B%AC%EB%A0%A5.jpg HTTP/1.1" 200 806437
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:10 +0900] "GET /BdhRes2.do HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:10 +0900] "GET /css/css_kmw/res_css/bdhRes2.css HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:45:16 +0900] "POST /BdhRes2.do HTTP/1.1" 200 1369
